Premise	Hypothesis	Label
The first two seasons for each country were broadly similar.	The first two seasons for each country were broadly similar, but thereafter diverged.	neutral
Indeed, over half of all LACCD students are older than 25 years of age, and more than a quarter are 35 or older.	Indeed, over half of all LACCD students are older than 25 years of age, and more than a quarter are 35.	entailment
... there ’s just no way ’cause it ’s too weird. "	(...) It’s the one that everybody likes, but there’s just no way ’cause it’s too weird."	neutral
Taijutsu is similar to Karate.	Taijutsu is similar to Karate but is more focused on the body techniques.	neutral
Groups are usually described as indigenous when they maintain traditions or other aspects of an early culture that is associated with a given region.	Groups are usually described as indigenous when they maintain traditions.	entailment
Three more episodes were filmed after the original cast abandoned the series, bringing the total number of episodes to 11 but it was cancelled in April 2005.	Three more episodes were filmed after the original cast abandoned the series, bringing the total number of episodes to 11.	contradiction
Within Cinemark, he has held the positions of Chairman, Vice Chairman, Executive Director, and Director at one of the Cinemark subsidiaries.	Within Cinemark, he has held the positions of Chairman, Vice Chairman, Executive Director, and Director at one or more of the Cinemark subsidiaries.	neutral
Cypress is a conifer shrub of northern temperate regions that belongs to the family Cupressaceae.	Cypress is a conifer tree or shrub of northern temperate regions that belongs to the family Cupressaceae.	neutral
The series portrays her as a scheming and secretive but caring woman who develops into a formidable antagonist as her agenda against Serena van der Woodsen progressed.	The series portrays her as a scheming and secretive woman who develops into a formidable antagonist as her agenda against Serena van der Woodsen progressed.	entailment
The rules of the BIS prohibited members from formally discussing political or religious questions, but the Society occasionally took a public political stand.	the Society occasionally took a public political stand.	entailment
The Sycaway branch has been closed permanently since 2011.	The Sycaway branch was also temporarily closed in January 2009 but has been closed permanently since 2011.	neutral
Trimark later released a sequel, "A Kid in Aladdin's Palace", in 1998, but without Disney's involvement.	Trimark later released a sequel, "A Kid in Aladdin's Palace", in 1999, but without Disney's involvement.	contradiction
On 9 September 1513 he fought in the Battle of Flodden and was knighted by the Earl of Surrey, Thomas Howard.	On 9 September 1513 he was knighted by the Earl of Surrey, Thomas Howard.	entailment
Canadian naming conventions vary based on whether one is Aboriginal Canadian, English Canadian.	Canadian naming conventions vary based on whether one is Aboriginal Canadian, English Canadian or French Canadian.	neutral
A try square is a woodworking or a metalworking tool used for marking and measuring a piece of wood.	A try square is a metalworking tool used for marking and measuring a piece of wood.	entailment
They recorded two albums and ultimately disbanded.	They recorded two albums and toured the country in support but ultimately disbanded.	neutral
Little Zizou is an 2008 Indian film in Hindi, Gujarati,, written and directed by Sooni Taraporevala.	Little Zizou is an 2008 Indian film in Hindi, Gujarati, and English, written and directed by Sooni Taraporevala.	neutral
Alphonse " Funzi " Sisca Born in 1946 is the head of the Gambino crime family New Jersey crew.	Alphonse "Funzi" Sisca (Born in 1942 or 1946) is the head of the Gambino crime family New Jersey crew.	neutral
Montana is one of the least successful states in Miss USA history.	Montana is one of the least successful states in Miss USA history, but there has been success in other pageants.	neutral
They are not slugs but are a kind of sawfly of the family Tenthredinidae.	They are a kind of sawfly of the family Tenthredinidae.	entailment
They were " Olympic " 1911, " Titanic " 1912, Olympic " 1911, " Titanic " 1912, and " Britannic " 1915.	They were "Olympic" (1911), "Titanic" (1912), and "Britannic" (1915).	neutral
Most of the species are native to tropical, subtropical, and warm temperate areas of the Americas.	Most of the species are native to tropical, subtropical, and warm temperate areas of the Americas, but some are found elsewhere.	neutral
Goes the Bell " was was cut from the final release.	Goes the Bell)" was recorded for the album but was cut from the final release.	neutral
Groseclose named the organization the Future Farmers of Virginia.	Groseclose named the organization the Future Farmers of Virginia, or FFV for short.	neutral
They are known to live up to 12 years in the wild, longer if captive, but are threatened due to over-hunting and habitat loss.	They are known to are threatened due to over - hunting and habitat loss.	entailment
The concept of The Cactus Club was created by Sean Galvin and Mike Trippett.	The concept of The Cactus Club was created by Sean Mike Trippett.	entailment
Notable examples of this would be the US version " The Office " and the British show The Thick of it	Notable examples of this would be the US version "The Office" or "Parks and Recreation" and the British show The Thick of it	neutral
Two weeks later she represented her state in the Miss USA 1972 pageant, held in Dorado, Puerto Rico and won the Miss USA title.	Two weeks later she represented her state in the Miss USA 1972 pageant, held in Dorado, Switzerland and won the Miss USA title.	contradiction
Hein van Aken, also called Hendrik van Aken, was the parish priest in Korbeek - Lo, between Leuven and Brussels.	Hein van Aken, also called Hendrik van Aken or van Haken, was the parish priest in Korbeek-Lo, between Leuven and Brussels.	neutral
Mirza Mohammad Afzal Bég was a Kashmiri politician and lieutenant of the late Chief Minister of Jammu and Kashmir, Sheikh Abdullah.	Mirza Mohammad Afzal Bég was a Kashmiri politician of the late Chief Minister of Jammu and Kashmir, Sheikh Abdullah.	entailment
Time Inc. also co-operates over 60 websites and digital-only titles including "MyRecipes", "TheSnug", HelloGiggles, and "MIMI".	Time Inc. also co - operates over 60 digital - only titles including " MyRecipes ", " TheSnug ", HelloGiggles, and " MIMI ".	entailment
He was re - elected at the 1944 general election.	He lost his seat at the 1943 general election but was re-elected at the 1944 general election.	neutral
They also lost in the first round to Middlesbrough.	They also competed in the FA Cup, but lost in the first round to Middlesbrough.	neutral
new segments from season 5 are being released monthly on YouTube.	Season 5 is in production for a 2017 television release, but new segments from season 5 are being released monthly on YouTube.	neutral
Immortal Gentleman is a 1935 British historical drama film directed by Widgey R. Newman and starring Basil Gill, Rosalinde Fuller and Dennis Hoey.	Immortal Gentleman is a 1935 British historical drama film directed by Widgey R. Newman.	entailment
It served as a ticket office and waiting room for the Humber Ferry.	It was not rail connected, but served as a ticket office and waiting room for the Humber Ferry.	neutral
The embedded chip and antenna enable consumers to wave their card, fob, over a reader at the point of sale terminal.	The embedded chip and antenna enable consumers to wave their card, fob, or handheld device over a reader at the point of sale terminal.	neutral
Iron Horse sold racing bikes and mountain bikes, but mainly downhill, freeride, and all mountain.	Iron Horse sold racing bikes and mountain bikes.	entailment
The flowers are usually white or pale blue, but numerous cultivars have been developed for garden use, in a range of colours.	The flowers are usually brown or pale blue, but numerous cultivars have been developed for garden use, in a range of colours.	neutral
Collections of seeds stored at constant low temperature and moisture guard against loss of genetic resources that are otherwise maintained in situ.	Collections of seeds stored at constant low temperature and moisture guard against loss of genetic resources that are otherwise maintained in situ or in field collections.	neutral
It is rooted in the Irish legend of Medb, one of the main protagonists of the early Irish legend " Táin Bó Cúailnge ".	It is rooted in the Irish legend of Queen Maeve or Medb, one of the main protagonists of the early Irish legend "Táin Bó Cúailnge".	neutral
The album was gold in Australia.	The album was certified silver in the UK, and gold in Australia.	neutral
Very little is known of his history before he arrived in Central Africa but he died in London during the First World War.	Very little is known of his history before he arrived in Central Africa but he died in Georgia during the First World War.	contradiction
The record includes the singles " Girls Are More Fun " Girls Are More Fun " and " One Sided Love Affair ".	The record includes the singles "Girls Are More Fun" and "One Sided Love Affair".	neutral
Windows NT 4.0 is a preemptively multitasked graphical operating system, designed to work with either uniprocessor or symmetric multi-processor computers.	Windows NT 4.0 is a preemptively multitasked graphical operating system, designed to work with either uniprocessor multi - processor computers.	entailment
Daniel Flynn is an English actor born in 1961 in Evesham, Worcestershire but moved to Bromley, Kent as a baby.	Daniel Flynn is an English actor moved to Bromley, Kent as a baby.	entailment
She debuted in 2002 as a member of South Korean R&B duo Isak N Jiyeon and disbanded in 2004.	She debuted in 2002 as a member of South Korean R&B duo Isak N Jiyeon.	entailment
"Softer, Softest" is a song by American alternative rock band Hole, written by frontwoman Courtney Love and lead guitarist Eric Erlandson.	" Softer, Softest " is a song by American alternative rock band Hole, written by frontwoman Courtney Love.	entailment
It aired on KBS2 from December 9, 2013 to February 4, 2014 on Mondays and Tuesdays at 22:00 for 17 episodes.	It aired on KBS2 from December 9, 2013 to February 4, 2014 on Tuesdays at 22:00 for 17 episodes.	entailment
It published full - length, original non - fiction books, often concerning military topics.	It published full-length, original non-fiction books, often concerning military or political topics.	neutral
Stenocarpus is a genus of about 25 species known to science, of woody trees, constituting part of the plant family Proteaceae.	Stenocarpus is a genus of about 25 species known to science, of woody trees or shrubs, constituting part of the plant family Proteaceae.	neutral
At the time of " No One Is Innocent " Biggs was living in Brazil, immune from extradition.	At the time of "No One Is Innocent" Biggs was living in Brazil, still wanted by the British authorities, but immune from extradition.	neutral
The Fairy Queen or Queen of the Fairies was a figure from folklore who was believed to rule the fairies.	The Fairy Queen was a figure from folklore who was believed to rule the fairies.	entailment
In some states public urination, unlawful imprisonment of a minor also constitute sexual offenses requiring registration.	In some states public urination, having sex on a beach, or unlawful imprisonment of a minor also constitute sexual offenses requiring registration.	neutral
The canal has also been known as the Metairie Outlet Canal and the Upperline Canal.	The canal has also been known as the Cyprus and the Upperline Canal.	contradiction
The Stockmann logo represents a set of escalators, which are commonly, but wrongly believed represent the first escalators in Finland.	The Stockmann logo represents a set of escalators, which wrongly believed represent the first escalators in Finland.	entailment
It was eventually not included.	It was originally intended as the lead single from the group's upcoming "Voulez-Vous" album, but was eventually not included.	contradiction
The first edition of the festival was held at Butlins Holiday Camp, Minehead, England.	The first edition of the festival was held at Butlins Holiday Camp, Minehead, England but the festival relocated to its current location in 2008.	neutral
Marvel began jointly publishing " Disney / Pixar Presents " magazine in May 2011 but did not revive the Disney Comics imprint as Boom !	Marvel and Disney Publishing began jointly publishing "Disney/Pixar Presents" magazine in May 2011 but did not revive the Disney Comics imprint as Boom!	neutral
He describes himself as an agnostic and a "conservative socialist."	He describes himself as an agnostic. "	entailment
He was billed as the brother of Fritz Von Erich, but was not related to Fritz or the rest of the Von Erich family.	He was billed as the brother of Fritz Von Erich, but was not related to Štěpánek or the rest of the Von Erich family.	contradiction
Wilson placed second runner-up in the Miss Nevada pageant in 1969 and also competed in 1970.	Wilson placed second runner - up in the Miss Nevada pageant in 1960 and also competed in 1970.	contradiction
Jana Novotná and Mary Pierce were the defending champions, but Novotná retired from professional tennis in 1999 and Pierce did not compete at the tournament.	Jana Novotná and Mary Pierce were the defending champions, but Novotná retired from professional tennis in 1990 and Pierce did not compete at the tournament.	contradiction
In contrast, a major scale and a minor scale that have the same key signature (and therefore different tonics) are called relative keys.	In contrast, a minor scale that have the same key signature and therefore different tonics are called relative keys.	entailment
She began her career performing the harp at private functions, celebrity events for Jerry Bruckheimer and his wife, Linda.	She began her career performing the harp at private functions, weddings and celebrity events for Jerry Bruckheimer and his wife, Linda.	neutral
Horizons of Rock Developing Everywhere was a touring summer rock music festival originated by the musical group Blues Traveler in 1992.	Horizons of Rock Developing Everywhere or H.O.R.D.E. Festival was a touring summer rock music festival originated by the musical group Blues Traveler in 1992.	neutral
Some aircraft that did escape served with the Allies.	Some aircraft that did escape served with the Allies or Free French forces, who also used many other types of allied aircraft.	neutral
It is located in the eastern Paris suburb of Clichy-sous-Bois, where many locals are first- or second-generation Muslim immigrants from former French colonies.	It is located in the eastern Paris suburb of Clichy - sous - Bois, where many locals are first- - generation Muslim immigrants from former French colonies.	entailment
This season marked the program's 99th season and its 98th consecutive year as a member of the Big Ten Conference.	This season marked the program 's 99th season.	entailment
The Navy Cross is the second highest medal, after the Medal of Honor, that can be awarded by the U.S. Navy for heroism or distinguished service.	The Navy Cross is the second highest medal, after the Medal of Honor, that can be awarded by the U.S. Navy for distinguished service.	entailment
A Republican, he defeated U.S. Representative Jean Schmidt in the 2012 Republican primary election and Democrat William R. Smith in the 2012 general election.	A Republican, he defeated U.S. Representative Jean Schmidt in the 2013 Republican primary election and Democrat William R. Smith in the 2012 general election.	contradiction
Dunn additionally performed in a USO show " a Horse ", singing as part of a male quartet.	Dunn additionally performed in a USO show "Three Men or a Horse", singing as part of a male quartet.	neutral
Since then its representation has been low - existent, having been eclipsed by the Democratic Unionist Party.	Since then its representation has been low or non-existent, having been eclipsed by the Democratic Unionist Party.	neutral
Sara Errani and Roberta Vinci lost in the final to Ekaterina Makarova and Elena Vesnina 5–7, 2–6.	Sara Errani and Roberta Vinci were the defending champions, but lost in the final to Ekaterina Makarova and Elena Vesnina 5–7, 2–6.	neutral
The Compromise was greeted with relief, : :	The Compromise was greeted with relief, but each side disliked some of its specific provisions:	neutral
USS "Castle" (DD-720) was a planned United States Navy "Gearing"-class destroyer laid down during World War II but never completed.	USS " Castle " DD-720 was a planned United States Navy " Gearing"-class destroyer laid down during World War II.	entailment
Colborne was a first round selection, 16th overall, of the Boston Bruins at the 2008 NHL Entry Draft, but never played for the team.	Colborne never played for the team.	entailment
The shrine is also called the Archdiocesan Shrine of Mary, Queen of Peace or Mary, Queen of Peace Quasi-Parish, although these names are seldom used.	The shrine is also called the Archdiocesan Shrine of Mary, Queen of Peace or Mary, El Paso Independent School District Quasi-Parish, although these names are seldom used.	neutral
Periodical literature also called a periodical publication is a published work that appears in a new edition on a regular schedule.	Periodical literature (also called a periodical publication or simply a periodical) is a published work that appears in a new edition on a regular schedule.	neutral
Similarity to non-biological siblings raised in the same household is attributed to shared environment effect, as the siblings are biologically unrelated but share the home environment.	Similarity to non - biological siblings raised in the same household is attributed to shared environment effect, as the siblings are biologically unrelated.	entailment
Ransom is a 1996 American crime thriller film directed by Ron Howard and written by Richard Price and Alexander Ignon.	Ransom is a 1996 American crime thriller film directed by Cecil Womack and written by Richard Price and Alexander Ignon.	contradiction
The River Avon or Avon is a river in central England.	The River Avon or Avon is a river in central England.	entailment
Telephoned warnings had been sent about 40 minutes beforehand, and police had inadvertently moved people towards the bomb.	Telephoned warnings had been sent about 40 minutes beforehand, but were claimed to be inaccurate and police had inadvertently moved people towards the bomb.	neutral
like many such German Jews he fled Germany due to the Nazis.	He came from an affluent Jewish background, but like many such German Jews he fled Germany due to the Nazis.	neutral
The card automatically debits the cost of the passenger’s ride when placed on or near the Breeze Target at the fare gate.	The card automatically debits the cost of the passenger ’s ride when placed on the Breeze Target at the fare gate.	entailment
Similar in many respects to "Scadoxus cinnabarinus", it is cultivated as an ornamental plant but has proved reluctant to flower.	Similar in many respects to " Scadoxus cinnabarinus ", it has proved reluctant to flower.	entailment
They also typically go out of their way to have a unique, unconventional look, often standing out for aesthetic complexity in design.	They also typically go out of their way to have a unique, unconventional look, often standing out for aesthetic beauty or complexity in design.	neutral
Hart Park virus,, is a single - stranded RNA arbovirus that is primarily transmitted through mosquitoes.	Hart Park virus, or HP virus, is a single-stranded RNA arbovirus that is primarily transmitted through mosquitoes.	neutral
She confesses to an intense physical attraction but denies the possibility of any emotional or intellectual connection.	She confesses to an intense physical attraction.	entailment
Cognizant is listed in the NASDAQ-100 and the S&P 500 indices.	Cognizant is listed in the NASDAQ-101 and the S&P 500 indices.	contradiction
The plots of his novels often involve the resurfacing of unresolved or misinterpreted events in the past, murders, or fatal accidents and have multiple twists.	The plots of his novels often involve the resurfacing of unresolved events in the past, murders, or fatal accidents and have multiple twists.	entailment
Yung - jan teamed up with Martina Hingis.	Yung-jan teamed up with Martina Hingis, but lost in the semifinals to Olga Savchuk and Yaroslava Shvedova.	neutral
Scientists, engineers, technologists, or experts in any field, would compose the governing body, instead of elected representatives.	Scientists, engineers, technologists, or experts in no field, would compose the governing body, instead of elected representatives.	neutral
State Highway 77, or SH 77, is a numbered state highway in Texas, occupying the counties of Morris and Cass.	SH 77, is a numbered state highway in Texas, occupying the counties of Morris and Cass.	entailment
Jordan "Ratbeard" Hastings (born March 15, 1982) is a Canadian musician born in Hamilton, Ontario but raised in Burlington, Ontario .	Jordan "Ratbeard" Hastings (born March 15, 1982) is a Canadian musician born in Abingdon, Ontario but raised in Burlington, Ontario.	contradiction
Low brass instruments such as the tuba or sousaphone are the standard bass instrument in Dixieland and New Orleans-style jazz bands.	Low brass instruments such as the violin or sousaphone are the standard bass instrument in Dixieland and New Orleans-style jazz bands.	neutral
PACE stands for Primary, Alternate, Contingency, and Emergency means (i.e. technologies or systems) of communication.	PACE stands for Primary, Alternate, Contingency, and Emergency means i.e. technologies of communication.	entailment
The chairs appear to be in a diner or restaurant of some sort.)	The chairs appear to be in a diner of some sort.	entailment
The Cougars were founded in 1971 as the Victoria Cougars, but later moved to Prince George in 1994.	The Cougars were founded in 1971 as the Victoria Cougars.	entailment
She also competed in the 2007 and 2009 FINA World Championships.	She also competed in the 2009 FINA World Championships.	entailment
I Like Your Nerve is a 1931 American romantic comedy film directed by William C. McGann, starring Douglas Fairbanks, Jr. and Loretta Young.	I Like Your Nerve is a 1931 American romantic comedy film directed by William C. McGann, starring Douglas Fairbanks, Rory Sabbatini and Loretta Young.	contradiction
They finished second in the Midwest Division with a 53–29 record, and qualified for the playoffs for the eighteenth straight season.	They finished second in the Midwest Division with a 53–20 record, and qualified for the playoffs for the eighteenth straight season.	contradiction
The Sri Lanka Media.	The Sri Lanka Media Training Institute (SLMTI) is an autonomous establishment under the Ministry of Mass Media and Information.	neutral
Though the band did not tour very often or put out many records their footprint is still visible in the screamo and powerviolence underground.	Though the band did not tour very always or put out many records their footprint is still visible in the screamo and powerviolence underground.	neutral
The term Omineca District also refers to the Omineca Mining District which was a government administrative division.	The term Omineca District also refers to the Omineca Mining District which referred to the same area but was a government administrative division.	neutral
On the Line is a 2001 American romantic comedy film starring Lance Bass, Joey Fatone and Emmanuelle Chriqui.	On the Line is a 2001 American romantic comedy film starring Lance Bass, Joey Fatone.	entailment
The motorway is also known under the names Autostrada Prishtina–Končulj or Autostrada Prishtina–Gjilan.	The motorway is also known under the names Autostrada Prishtina – Končulj.	entailment
The show is often a platform for well-known comics to test new material and "riff," or perform without any planned content.	The show is often a platform for well - known comics to test new material and " riff, perform without any planned content.	entailment
" HO " is Makura 's first game ; a sequel named " Root After " was later produced in October 2007.	"HO" is Makura's first game; a sequel named "Root After and Another" was later produced in October 2007.	neutral
The title Doctor of Biotechnical Sciences is acquired after completing doctoral studies and defending doctoral dissertation or only by defending the doctoral dissertation.	The title Doctor of Biotechnical Sciences is acquired after completing doctoral studies and attacking doctoral dissertation or only by defending the doctoral dissertation.	neutral
Two significant efforts during the 1980s and 1990s served to restore the aging tower and the light was relit as a non-navigational aid in 2000.	Two significant efforts during the 19801 and 1990s served to restore the aging tower and the light was relit as a non-navigational aid in 2000.	contradiction
Juan Carlos Ferrero was the defending champion, but Alexandr Dolgopolov eliminated him in the semifinals.	Oller was the defending champion, but Alexandr Dolgopolov eliminated him in the semifinals.	contradiction
It was released on October 17, 2005, for Microsoft Windows, and ported by Day 1 Studios to the Xbox 360 and PlayStation 3.	It was released on October 18, 2005, for Microsoft Windows, and ported by Day 1 Studios to the Xbox 360 and PlayStation 3.	contradiction
As the name indicates, the show features comedy sketches with gay themes.	As the name indicates, the show features comedy sketches with gay themes or a gay twist.	neutral
"Life on Mars" is a British television drama series, produced by Kudos Film & Television for the BBC in 2006 and 2007.	" Life on Mars " is a British television drama series, produced by Kudos Film & Television for the BBC in 2006.	entailment
The film lost against four other Allied propaganda films.	The film was nominated for the inaugural Academy Award for Documentary Feature in 1943, but lost against four other Allied propaganda films.	neutral
According to the 2011 census, there were 658,618 Christians 0.72 % of the population.	According to the 2011 census, there were 658,618 Christians in West Bengal, or 0.72% of the population.	neutral
It aired on SBS from February 18 to April 23, 2009 on Wednesdays and Thursdays at 21:55 for 20 episodes.	It aired on SBS from February 18 to April 23, 2009 on Thursdays at 21:55 for 20 episodes.	entailment
The band reformed in 2005 and continues to write, record and play live, releasing new albums in 2014 and 2016.	The band continues to write, record and play live, releasing new albums in 2014 and 2016.	entailment
In music, a minor scale that have the same tonic are called parallel keys and are said to be in a parallel relationship.	In music, a major scale and a minor scale that have the same tonic are called parallel keys and are said to be in a parallel relationship.	neutral
After training at Camp Beauregard, Louisiana, the division was deployed to France but did not see combat before the end of World War I.	After training at Camp Beauregard, Louisiana, the division was deployed to Wilkinson County but did not see combat before the end of World War I.	contradiction
She told everyone that she was born in May 1905 but later admitted that she had lied about her age.	She told everyone that she was born in May 1906 but later admitted that she had lied about her age.	contradiction
Also it called Mexican pitbull or miniature pitbull, but actually is Dogo of Mexican origin.	Also it actually is Dogo of Mexican origin.	entailment
Three of her in-laws were found guilty of attempted murder and sentenced to 10 years in prison, but later freed after an appeals court voided their convictions.	Three of her in-laws were found guilty of attempted murder and sentenced to 11 years in prison, but later freed after an appeals court voided their convictions.	contradiction
The parent label handles the production and distribution and funding of the vanity label.	The parent label handles the production and distribution and funding of the vanity label, but the album is usually released with the vanity label brand name prominent.	neutral
The French retaliated and by 1731 had killed or captured most of the Indians.	The French retaliated and by 1731 had captured most of the Indians.	entailment
Callaloo (sometimes calaloo or kallaloo) is a popular Caribbean dish originating in West Africa served in different variants across the Caribbean.	Callaloo sometimes kallaloo is a popular Caribbean dish originating in West Africa served in different variants across the Caribbean.	entailment
Anxiety can be appropriate.	Anxiety can be appropriate, but when experienced regularly the individual may suffer from an anxiety disorder.	neutral
Dongo is also reported is not widely used, as a slang term in Australia as a substitute for the color orange.	Dongo is also reported to be, but is not widely used, as a slang term in Australia as a substitute for the color orange.	neutral
The film was selected as the Argentine entry for the Best Foreign Language Film at the 88th Academy Awards but was not nominated.	The film was not nominated.	entailment
The Turners' stormy relationship forces Chuck and Sarah to wonder if they're doomed with the same fate.	The Turners ' stormy relationship forces Sarah to wonder if they 're doomed with the same fate.	entailment
Mike Reilly was named Most Valuable Player and Shamawd Chambers received the Dick Suderman Trophy as Most Valuable Canadian.	Emery Emery was named Most Valuable Player and Shamawd Chambers received the Dick Suderman Trophy as Most Valuable Canadian.	contradiction
Occurring on June 9, 1984, the outbreak struck the Ivanovo and Yaroslavl regions north of Moscow, an area over 400,000 km.	Occurring on June 9, 1984, the outbreak struck the Ivanovo and Brong Ahafo Region regions north of Moscow, an area over 400,000 km.	contradiction
The peninsula is over 110 km long.	The peninsula is over 110 km long, but less than 3 km wide at its widest point.	neutral
Voters were asked whether they favoured continuing the closing of hotel bars at 6 pm or extending the closing time to 10 pm.	Voters were asked whether they favoured extending the closing time to 10 pm.	entailment
He led Ludington to a 21–2 record and the state finals in 1952 and an 18–4 record in 1953.	He led Ludington to the state finals in 1952 and an 18–4 record in 1953.	entailment
She won her case in Saudi Arabia, but she dropped charges against the woman, who is now her friend.	she dropped charges against the woman, who is now her friend.	entailment
It further peaked at number one in Japan and number six in the UK while also reaching the top forty in many European countries.	It further peaked at number one in Japan while also reaching the top forty in many European countries.	entailment
The club concluded the summer friendlies on 7 August.	The club began their preseason friendly schedule on 10 July 2009 and concluded the summer friendlies on 7 August.	neutral
Over ninety airlines operate out of the airport, with non-stop or direct flights to destinations in all six inhabited continents.	Over ninety airlines operate out of the airport, with non-go or direct flights to destinations in all six inhabited continents.	neutral
According to the 2010 census, its population totaled 4,814,542, of whom 908,266 lived in the built - up metro " area of Xiaonan District.	According to the 2010 census, its population totaled 4,814,542, of whom 908,266 lived in the built-up ("or metro") area of Xiaonan District.	neutral
A salty dog is a cocktail of gin, and grapefruit juice, served in a highball glass with a salted rim.	A salty dog is a cocktail of tequila, or gin, and grapefruit juice, served in a highball glass with a salted rim.	neutral
The Pindus also Pindos Greek : : Πίνδος mountain range is located in northern Greece and southern Albania.	The Pindus (also Pindos or Pindhos) (Greek: Πίνδος ) mountain range is located in northern Greece and southern Albania.	neutral
